Lat,lng,time
34.06751845,-118.44990719,1487967578083
34.06750321,-118.44989279,1487967579036
34.06748994,-118.44987791,1487967580039
34.06747509,-118.44986172,1487967581046
34.06746162,-118.44984829,1487967582060
34.06745767,-118.44984016,1487967583077
34.06745623,-118.44982805,1487967584062
34.06745259,-118.44981822,1487967585055
34.06744807,-118.44980455,1487967586075
34.0674378,-118.44979035,1487967587068
34.06743383,-118.44976944,1487967588056
34.06743585,-118.44975299,1487967589065
34.06744621,-118.44973698,1487967590064
34.06746363,-118.44972795,1487967591056
34.06748177,-118.44972139,1487967592055
34.06749844,-118.44971871,1487967593054
34.06752197,-118.44971401,1487967594078
34.06754547,-118.44970041,1487967595064
34.06756196,-118.4496901,1487967596072
34.06757658,-118.44968339,1487967597045
34.06759381,-118.44967219,1487967598059
34.06761189,-118.44966567,1487967599065
34.06762818,-118.44965411,1487967600132
34.06763914,-118.44963917,1487967601049
34.06765215,-118.44963642,1487967602073
34.06766616,-118.44963723,1487967603053
34.06767957,-118.44964004,1487967604053
34.06769235,-118.44964244,1487967605058
34.06770531,-118.44963115,1487967606048
34.0677196,-118.44961621,1487967607055
34.06773449,-118.4495944,1487967608063
34.06774504,-118.44958267,1487967609070
34.06775091,-118.44956813,1487967610062
34.06775427,-118.44954924,1487967611050
34.06775938,-118.44953793,1487967612050
34.06776512,-118.44952582,1487967613062
34.06777662,-118.44952692,1487967614048
34.06778597,-118.44952754,1487967615036
34.06779705,-118.44951712,1487967616055
34.0678099,-118.44950232,1487967617041
34.0678241,-118.4494918,1487967618080
34.0678368,-118.44948292,1487967619045
34.0678455,-118.44947231,1487967620036
34.06786248,-118.44946497,1487967621033
34.06787729,-118.44946632,1487967622035
34.0678877,-118.44947405,1487967623044
34.06789785,-118.44947685,1487967624047
34.06790968,-118.4494722,1487967625027
34.06791764,-118.4494606,1487967626039
34.06792998,-118.44944679,1487967627061
34.06793729,-118.44943763,1487967628043
34.06794784,-118.44942945,1487967629044
34.06796219,-118.44941711,1487967630048
34.06797738,-118.44940199,1487967631036
34.0679903,-118.4493897,1487967632039
34.06800457,-118.44937838,1487967633047
34.06801491,-118.44937216,1487967634067
34.06802742,-118.44936974,1487967635046
34.06804425,-118.44936689,1487967636045
34.06805777,-118.44936979,1487967637069
34.06806661,-118.44937624,1487967638065
34.06807477,-118.44937653,1487967639066
34.06808942,-118.44937932,1487967640069
34.06809902,-118.44937386,1487967641058
34.06810826,-118.44936349,1487967642027
34.06812461,-118.4493598,1487967643030
34.06813339,-118.44936043,1487967644037
34.06813804,-118.44936862,1487967645046
34.06814891,-118.44937112,1487967646063
34.06815953,-118.44936817,1487967647055
34.06816709,-118.44935359,1487967648068
34.0681754,-118.44933862,1487967649057
34.06818954,-118.44932829,1487967650076
34.06820274,-118.44932807,1487967651040
34.06822455,-118.44933066,1487967652053
34.06823584,-118.44933038,1487967653059
34.06824536,-118.44933064,1487967654052
34.06825611,-118.4493285,1487967655050
34.06826011,-118.44931082,1487967656065
34.06826818,-118.44929165,1487967657071
34.06828342,-118.44928273,1487967658059
34.06830169,-118.44927765,1487967659051
34.06831363,-118.44927447,1487967660053
34.06832684,-118.44926882,1487967661070
34.06833874,-118.44925996,1487967662075
34.06835048,-118.44924736,1487967663049
34.06836343,-118.44923126,1487967664043
34.06837981,-118.44922768,1487967665047
34.06839828,-118.44922749,1487967666050
34.06841124,-118.44922618,1487967667042
34.06842489,-118.449219,1487967668048
34.06843615,-118.44920706,1487967669049
34.06844851,-118.44919801,1487967670052
34.06845801,-118.44918627,1487967671064
34.06846909,-118.44917604,1487967672057
34.06848424,-118.44917072,1487967673056
34.06849303,-118.44916346,1487967674054
34.06850016,-118.44915962,1487967675060
34.0685067,-118.44915035,1487967676052
34.06851012,-118.44914213,1487967677052
34.06851946,-118.44913844,1487967678044
34.06853075,-118.44913223,1487967679051
34.06854134,-118.44912238,1487967680039
34.06855178,-118.44911883,1487967681035
34.06855985,-118.44912185,1487967682038
34.06856882,-118.44912183,1487967683050
34.06857575,-118.44911786,1487967684052
34.06858417,-118.44910984,1487967685339
34.06859429,-118.44910121,1487967686058
34.06860303,-118.4490918,1487967687049
34.06861406,-118.44908597,1487967688054
34.06862603,-118.44908398,1487967689038
34.06863185,-118.4490672,1487967690042
34.068645,-118.44905245,1487967691058
34.06865372,-118.44903639,1487967692054
34.06866251,-118.44901736,1487967693018
34.06867009,-118.44900979,1487967694029
34.06867751,-118.44900185,1487967695045
34.0686875,-118.44899893,1487967696041
34.0686973,-118.44899158,1487967697072
34.06870693,-118.44898264,1487967698049
34.06871738,-118.44897229,1487967699057
34.06871795,-118.44896526,1487967700049
34.06871927,-118.44895551,1487967701052
